127.0.0.1 - - [26/May/2024:13:42:58 +0000] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [26/May/2024:14:41:48 +0000] "GET /employee-management-spring-mvc/employees/add HTTP/1.1" 200 768
0:0:0:0:0:0:0:1 - - [26/May/2024:14:46:40 +0000] "GET /employee-management-spring-mvc/employees/add HTTP/1.1" 200 1086
0:0:0:0:0:0:0:1 - - [26/May/2024:14:46:45 +0000] "GET /employee-management-spring-mvc/employees HTTP/1.1" 200 1637
0:0:0:0:0:0:0:1 - - [26/May/2024:14:46:49 +0000] "GET /employee-management-spring-mvc/employees/add HTTP/1.1" 200 1086
0:0:0:0:0:0:0:1 - - [26/May/2024:14:47:32 +0000] "POST /employee/add HTTP/1.1" 404 767
0:0:0:0:0:0:0:1 - - [26/May/2024:14:49:23 +0000] "POST /employee/add HTTP/1.1" 404 767
0:0:0:0:0:0:0:1 - - [26/May/2024:14:49:27 +0000] "GET /employee-management-spring-mvc/employees/add HTTP/1.1" 200 1121
0:0:0:0:0:0:0:1 - - [26/May/2024:14:49:29 +0000] "GET /employee-management-spring-mvc/employees/add HTTP/1.1" 200 1121
0:0:0:0:0:0:0:1 - - [26/May/2024:14:49:30 +0000] "GET /employee-management-spring-mvc/employees/add HTTP/1.1" 200 1121
0:0:0:0:0:0:0:1 - - [26/May/2024:14:49:31 +0000] "GET /employee-management-spring-mvc/employees/add HTTP/1.1" 200 1121
0:0:0:0:0:0:0:1 - - [26/May/2024:14:49:31 +0000] "GET /employee-management-spring-mvc/employees/add HTTP/1.1" 200 1121
0:0:0:0:0:0:0:1 - - [26/May/2024:14:49:45 +0000] "POST /employee-management-spring-mvc/employees/$%7BpageContext.request.contextPath%7D/employees/add HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [26/May/2024:14:50:31 +0000] "POST /employee-management-spring-mvc/employees/$%7BpageContext.request.contextPath%7D/employees/add HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [26/May/2024:14:50:35 +0000] "GET /employee-management-spring-mvc/employees/add HTTP/1.1" 200 1087
0:0:0:0:0:0:0:1 - - [26/May/2024:14:50:44 +0000] "POST /employees/add HTTP/1.1" 404 768
0:0:0:0:0:0:0:1 - - [26/May/2024:14:53:23 +0000] "GET /employee-management-spring-mvc/employees HTTP/1.1" 200 1637
0:0:0:0:0:0:0:1 - - [26/May/2024:14:53:27 +0000] "GET /employee-management-spring-mvc/employees/add HTTP/1.1" 200 1087
0:0:0:0:0:0:0:1 - - [26/May/2024:14:53:39 +0000] "POST /employees/add HTTP/1.1" 404 768
0:0:0:0:0:0:0:1 - - [26/May/2024:14:54:09 +0000] "GET /employee-management-spring-mvc/employees/add HTTP/1.1" 200 1087
0:0:0:0:0:0:0:1 - - [26/May/2024:14:54:18 +0000] "POST /employees/add HTTP/1.1" 404 768
0:0:0:0:0:0:0:1 - - [26/May/2024:14:56:39 +0000] "GET /employee-management-spring-mvc/employees HTTP/1.1" 200 1637
0:0:0:0:0:0:0:1 - - [26/May/2024:14:56:40 +0000] "GET /employee-management-spring-mvc/employees HTTP/1.1" 200 1637
0:0:0:0:0:0:0:1 - - [26/May/2024:14:56:42 +0000] "GET /employee-management-spring-mvc/employees/add HTTP/1.1" 200 1121
0:0:0:0:0:0:0:1 - - [26/May/2024:14:56:50 +0000] "POST /employee-management-spring-mvc/employees/$%7BpageContext.request.contextPath%7D/employees/add HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [26/May/2024:14:58:36 +0000] "GET /employee-management-spring-mvc/employees/add HTTP/1.1" 200 1121
0:0:0:0:0:0:0:1 - - [26/May/2024:14:58:45 +0000] "GET /employee-management-spring-mvc/employees HTTP/1.1" 200 1637
0:0:0:0:0:0:0:1 - - [26/May/2024:14:58:48 +0000] "GET /employee-management-spring-mvc/employees/add HTTP/1.1" 200 1121
0:0:0:0:0:0:0:1 - - [26/May/2024:15:00:09 +0000] "POST /employee-management-spring-mvc/employees/$%7BpageContext.request.contextPath%7D/employees/add HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [26/May/2024:15:00:14 +0000] "POST /employee-management-spring-mvc/employees/$%7BpageContext.request.contextPath%7D/employees/add HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [26/May/2024:15:00:18 +0000] "GET /employee-management-spring-mvc/employees/add HTTP/1.1" 200 1087
0:0:0:0:0:0:0:1 - - [26/May/2024:15:00:19 +0000] "GET /employee-management-spring-mvc/employees/add HTTP/1.1" 200 1087
0:0:0:0:0:0:0:1 - - [26/May/2024:15:00:19 +0000] "GET /employee-management-spring-mvc/employees/add HTTP/1.1" 200 1087
0:0:0:0:0:0:0:1 - - [26/May/2024:15:01:13 +0000] "GET /employee-management-spring-mvc/employees/add HTTP/1.1" 200 1087
0:0:0:0:0:0:0:1 - - [26/May/2024:15:01:20 +0000] "POST /employees/add HTTP/1.1" 404 768
0:0:0:0:0:0:0:1 - - [26/May/2024:15:02:38 +0000] "GET /employee-management-spring-mvc/employees/add HTTP/1.1" 200 1118
0:0:0:0:0:0:0:1 - - [26/May/2024:15:02:38 +0000] "GET /employee-management-spring-mvc/employees/add HTTP/1.1" 200 1118
0:0:0:0:0:0:0:1 - - [26/May/2024:15:02:39 +0000] "GET /employee-management-spring-mvc/employees/add HTTP/1.1" 200 1118
0:0:0:0:0:0:0:1 - - [26/May/2024:15:02:39 +0000] "GET /employee-management-spring-mvc/employees/add HTTP/1.1" 200 1118
0:0:0:0:0:0:0:1 - - [26/May/2024:15:02:39 +0000] "GET /employee-management-spring-mvc/employees/add HTTP/1.1" 200 1118
0:0:0:0:0:0:0:1 - - [26/May/2024:15:02:47 +0000] "POST /employee-management-spring-mvc/employees/add HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [26/May/2024:15:02:47 +0000] "GET /employee-management-spring-mvc/employees HTTP/1.1" 200 1988
0:0:0:0:0:0:0:1 - - [26/May/2024:15:09:43 +0000] "GET /employee-management-spring-mvc/employees HTTP/1.1" 200 1988
0:0:0:0:0:0:0:1 - - [26/May/2024:15:09:46 +0000] "GET /employee-management-spring-mvc/employees/add HTTP/1.1" 500 4459
0:0:0:0:0:0:0:1 - - [26/May/2024:15:12:18 +0000] "GET /employee-management-spring-mvc/employees/add HTTP/1.1" 200 1130
0:0:0:0:0:0:0:1 - - [26/May/2024:15:12:33 +0000] "POST /employee-management-spring-mvc/employees/$%7BpageContext.request.contextPath%7D/employees/add HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [26/May/2024:15:13:04 +0000] "POST /employee-management-spring-mvc/employees/$%7BpageContext.request.contextPath%7D/employees/add HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [26/May/2024:15:18:58 +0000] "GET /employee-management-spring-mvc/employees HTTP/1.1" 200 1988
0:0:0:0:0:0:0:1 - - [26/May/2024:15:19:00 +0000] "GET /employee-management-spring-mvc/employees/add HTTP/1.1" 500 4231
0:0:0:0:0:0:0:1 - - [26/May/2024:15:19:59 +0000] "GET /employee-management-spring-mvc/employees/add HTTP/1.1" 200 1096
0:0:0:0:0:0:0:1 - - [26/May/2024:15:20:16 +0000] "POST /employees/add HTTP/1.1" 404 768
0:0:0:0:0:0:0:1 - - [26/May/2024:15:35:39 +0000] "GET /employee-management-spring-mvc/employees HTTP/1.1" 200 1988
0:0:0:0:0:0:0:1 - - [26/May/2024:15:35:41 +0000] "GET /employee-management-spring-mvc/employees HTTP/1.1" 200 1988
0:0:0:0:0:0:0:1 - - [26/May/2024:15:35:43 +0000] "GET /employee-management-spring-mvc/employees/add HTTP/1.1" 500 3517
0:0:0:0:0:0:0:1 - - [26/May/2024:15:38:30 +0000] "GET /employee-management-spring-mvc/employees/add HTTP/1.1" 200 1122
0:0:0:0:0:0:0:1 - - [26/May/2024:15:38:47 +0000] "POST /employee-management-spring-mvc/employees/add HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [26/May/2024:15:38:47 +0000] "GET /employee-management-spring-mvc/employees HTTP/1.1" 200 2340
0:0:0:0:0:0:0:1 - - [26/May/2024:15:54:22 +0000] "GET /employee-management-spring-mvc/employees HTTP/1.1" 200 2340
0:0:0:0:0:0:0:1 - - [26/May/2024:15:54:31 +0000] "GET /employee-management-spring-mvc/employees/delete/,6 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [26/May/2024:15:54:31 +0000] "GET /employee-management-spring-mvc/employees HTTP/1.1" 200 1988
0:0:0:0:0:0:0:1 - - [26/May/2024:15:54:45 +0000] "GET /employee-management-spring-mvc/employees/edit/,4 HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [26/May/2024:15:56:15 +0000] "GET /employee-management-spring-mvc/employees/edit/4 HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [26/May/2024:15:56:19 +0000] "GET /employee-management-spring-mvc/employees/edit/4 HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [26/May/2024:15:56:30 +0000] "GET /employee-management-spring-mvc/employees/edit/,4 HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [26/May/2024:16:03:50 +0000] "GET /employee-management-spring-mvc/employees HTTP/1.1" 200 1988
0:0:0:0:0:0:0:1 - - [26/May/2024:16:03:55 +0000] "GET /employee-management-spring-mvc/employees/edit/,4 HTTP/1.1" 200 1141
0:0:0:0:0:0:0:1 - - [26/May/2024:16:04:46 +0000] "POST /employee-management-spring-mvc/employees/edit HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [26/May/2024:16:06:48 +0000] "GET /employee-management-spring-mvc/employees/edit/,4 HTTP/1.1" 200 1141
0:0:0:0:0:0:0:1 - - [26/May/2024:16:06:58 +0000] "POST /employee-management-spring-mvc/employees/edit HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [26/May/2024:16:06:58 +0000] "GET /employee-management-spring-mvc/employees HTTP/1.1" 200 1988
